sample,missing_rate,alt_burden
HG00096,0.0,93857.5
HG00097,0.0,94796.0
HG00099,0.0,96438.0
HG00100,0.0,94133.5
HG00101,0.0,88940.5
HG00102,0.0,94212.0
HG00103,0.0,93802.5
HG00105,0.0,94482.5
HG00106,0.0,94325.0
HG00107,0.0,90639.5
HG00108,0.0,92857.0
HG00109,0.0,92000.0
HG00110,0.0,93117.5
HG00111,0.0,92650.0
HG00112,0.0,92116.0
HG00113,0.0,93149.5
HG00114,0.0,93524.0
HG00115,0.0,92908.5
HG00116,0.0,94194.0
HG00117,0.0,92643.0
HG00118,0.0,93674.5
HG00119,0.0,95443.0
HG00120,0.0,93081.5
HG00121,0.0,90065.0
HG00122,0.0,92537.0
HG00123,0.0,92777.0
HG00125,0.0,91817.0
HG00126,0.0,93483.5
HG00127,0.0,94301.0
HG00128,0.0,95171.0
HG00129,0.0,95543.5
HG00130,0.0,93561.5
HG00131,0.0,95298.0
HG00132,0.0,94408.0
HG00133,0.0,93155.0
HG00136,0.0,90830.5
HG00137,0.0,89522.0
HG00138,0.0,89381.0
HG00139,0.0,90995.5
HG00140,0.0,90289.0
HG00141,0.0,94397.0
HG00142,0.0,92680.5
HG00143,0.0,94697.0
HG00145,0.0,90126.5
HG00146,0.0,94371.5
HG00148,0.0,93903.0
HG00149,0.0,96573.5
HG00150,0.0,94648.0
HG00151,0.0,92868.0
HG00154,0.0,94097.0
HG00155,0.0,91034.5
HG00157,0.0,91773.0
HG00158,0.0,93793.0
HG00159,0.0,96173.5
HG00160,0.0,92292.0
HG00171,0.0,92675.5
HG00173,0.0,92055.5
HG00174,0.0,92499.0
HG00176,0.0,97541.5
HG00177,0.0,93117.0
HG00178,0.0,91727.0
HG00179,0.0,92530.0
HG00180,0.0,92670.0
HG00181,0.0,91047.0
HG00182,0.0,94225.0
HG00183,0.0,94208.0
HG00185,0.0,93062.5
HG00186,0.0,94037.5
HG00187,0.0,92847.5
HG00188,0.0,91194.0
HG00189,0.0,93348.0
HG00190,0.0,91758.5
HG00231,0.0,92267.5
HG00232,0.0,92722.0
HG00233,0.0,95205.0
HG00234,0.0,89265.0
HG00235,0.0,92043.0
HG00236,0.0,95241.5
HG00237,0.0,91801.5
HG00238,0.0,89322.0
HG00239,0.0,91906.5
HG00240,0.0,95422.0
HG00242,0.0,92497.0
HG00243,0.0,90849.5
HG00244,0.0,91906.0
HG00245,0.0,92316.5
HG00246,0.0,95139.0
HG00250,0.0,94519.5
HG00251,0.0,92904.5
HG00252,0.0,89107.5
HG00253,0.0,92630.0
HG00254,0.0,92040.5
HG00255,0.0,95531.5
HG00256,0.0,92212.0
HG00257,0.0,92688.0
HG00258,0.0,93089.0
HG00259,0.0,92704.5
HG00260,0.0,93418.5
HG00261,0.0,94929.0
HG00262,0.0,89761.0
HG00263,0.0,92746.5
HG00264,0.0,91301.0
HG00265,0.0,93475.0
HG00266,0.0,91066.5
HG00267,0.0,92750.0
HG00268,0.0,90644.5
HG00269,0.0,93571.5
HG00271,0.0,98728.0
HG00272,0.0,95754.0
HG00273,0.0,94819.5
HG00274,0.0,93883.0
HG00275,0.0,94313.5
HG00276,0.0,93171.5
HG00277,0.0,90658.5
HG00278,0.0,91103.0
HG00280,0.0,96344.5
HG00281,0.0,93633.0
HG00282,0.0,94717.5
HG00284,0.0,93818.5
