sample,missing_rate,alt_burden
HG00096,0.0004441593051374426,103.0
HG00101,0.00029610620342496174,823.0
HG00103,0.00029610620342496174,104.0
HG00105,0.00013160275707776078,105.0
HG00107,0.00018095379098192108,106.0
HG00108,0.00046060964977216273,96.0
HG00109,0.00023030482488608137,414.0
HG00112,0.0005922124068499235,89.0
HG00113,0.00014805310171248087,424.0
HG00114,0.000658013785388804,419.0
HG00115,0.00013160275707776078,118.0
HG00116,0.00042770896050272256,106.0
HG00117,0.00036190758196384215,812.0
HG00119,0.00021385448025136128,99.0
HG00126,0.00018095379098192108,108.0
HG00129,0.00011515241244304068,104.0
HG00131,0.00029610620342496174,101.0
HG00136,0.001019921367352646,812.0
HG00138,0.0005593117175804833,103.0
HG00139,3.2900689269440196e-05,104.0
HG00140,0.00019740413561664116,813.0
HG00141,0.0,111.0
HG00142,0.0009541199888137657,90.0
HG00143,0.00013160275707776078,124.0
HG00145,0.00024675516952080145,105.0
HG00148,0.00013160275707776078,116.0
HG00149,0.00024675516952080145,109.0
HG00151,0.0007567158531971245,395.0
HG00155,0.00042770896050272256,102.0
HG00157,0.0007238151639276843,98.0
HG00159,0.000509960683676323,820.0
HG00160,0.00034545723732912204,802.0
HG00181,0.00019740413561664116,805.0
HG00182,0.0005757620622152034,756.0
HG00183,0.0005757620622152034,755.0
HG00185,0.00024675516952080145,756.0
HG00186,0.0009541199888137657,825.0
HG00187,0.0009870206780832058,750.0
HG00188,0.00019740413561664116,758.0
HG00189,0.0005922124068499235,811.0
HG00190,0.001003471022717926,809.0
HG00234,0.00034545723732912204,824.0
HG00242,0.00047705999440688285,112.0
HG00243,3.2900689269440196e-05,99.0
HG00244,0.000329006892694402,102.0
HG00246,0.0021220944578788925,100.0
HG00251,1.6450344634720098e-05,125.0
HG00252,0.000164503446347201,817.0
HG00256,3.2900689269440196e-05,106.0
HG00260,0.00021385448025136128,109.0
HG00264,0.0003948082712332823,92.0
HG00265,0.00046060964977216273,109.0
HG00267,0.00047705999440688285,125.0
HG00271,9.870206780832058e-05,756.0
HG00273,0.00014805310171248087,760.0
HG00277,0.0005757620622152034,401.0
HG00278,0.0006909144746582441,754.0
HG00280,0.000658013785388804,744.0
HG00284,0.0005264110283110431,749.0
HG00290,8.22517231736005e-05,768.0
HG00308,0.0012008751583345671,814.0
HG00310,0.0003948082712332823,820.0
HG00311,0.0007073648192929642,748.0
HG00321,0.0006909144746582441,823.0
HG00325,0.00041125861586800244,821.0
HG00329,0.000329006892694402,756.0
HG00335,0.00013160275707776078,759.0
HG00336,0.0009541199888137657,750.0
HG00338,0.0010692724012568062,756.0
HG00341,0.00019740413561664116,763.0
HG00342,0.00026320551415552157,759.0
HG00345,6.580137853888039e-05,831.0
HG00351,0.0009376696441790455,745.0
HG00358,0.00037835792659856227,759.0
HG00360,0.00014805310171248087,775.0
HG00366,0.0006909144746582441,394.0
HG00369,0.0006909144746582441,745.0
HG00371,0.000164503446347201,763.0
HG00372,0.0008883186102748852,831.0
HG00375,0.0007238151639276843,763.0
HG00382,0.00034545723732912204,419.0
HG00403,0.0009705703334484858,707.0
HG00406,0.00026320551415552157,687.0
HG00409,6.580137853888039e-05,752.0
HG00421,0.00011515241244304068,762.0
HG00436,0.0007402655085624044,752.0
HG00442,4.935103390416029e-05,761.0
HG00445,8.22517231736005e-05,746.0
HG00448,9.870206780832058e-05,740.0
HG00451,0.00029610620342496174,759.0
HG00457,0.00023030482488608137,729.0
HG00463,0.000329006892694402,769.0
HG00472,3.2900689269440196e-05,739.0
HG00475,0.00014805310171248087,779.0
HG00478,0.00011515241244304068,758.0
HG00500,0.00027965585879024163,785.0
HG00524,0.0007896165424665647,730.0
HG00530,0.0007402655085624044,754.0
HG00533,0.0005428613729457632,740.0
HG00536,4.935103390416029e-05,776.0
HG00542,0.0006415634407540838,790.0
HG00553,0.0007402655085624044,1522.0
HG00556,8.22517231736005e-05,733.0
HG00559,0.0006086627514846436,655.0
HG00565,0.0005757620622152034,742.0
HG00580,0.0007073648192929642,732.0
HG00583,0.00031255654805968186,722.0
HG00589,0.0003948082712332823,723.0
HG00592,0.0005428613729457632,726.0
HG00595,0.0005264110283110431,734.0
HG00598,8.22517231736005e-05,767.0
HG00607,0.0007402655085624044,717.0
HG00610,0.0005428613729457632,694.0
HG00613,0.00024675516952080145,756.0
HG00619,0.00041125861586800244,753.0
HG00622,6.580137853888039e-05,739.0
HG00625,0.0009212192995443255,725.0
HG00628,0.0008060668871012848,948.0
HG00631,6.580137853888039e-05,755.0
HG00634,0.0009705703334484858,719.0
HG00637,0.0008225172317360049,109.0
HG00640,0.00037835792659856227,244.0
HG00650,0.000509960683676323,762.0
HG00653,0.00042770896050272256,714.0
HG00656,0.00036190758196384215,762.0
HG00662,0.00042770896050272256,765.0
HG00671,0.00036190758196384215,761.0
HG00674,9.870206780832058e-05,768.0
HG00683,0.00041125861586800244,751.0
HG00689,0.00036190758196384215,763.0
HG00692,0.0003948082712332823,756.0
HG00698,0.00037835792659856227,764.0
HG00701,0.0007073648192929642,755.0
HG00704,0.00029610620342496174,753.0
HG00707,0.00031255654805968186,761.0
HG00728,0.000164503446347201,762.0
HG00731,0.0,111.0
HG00736,0.00046060964977216273,100.0
HG00739,3.2900689269440196e-05,106.0
HG00742,0.00031255654805968186,110.0
HG00844,4.935103390416029e-05,768.0
HG00881,4.935103390416029e-05,754.0
HG00982,0.00014805310171248087,768.0
HG01028,0.00037835792659856227,756.0
HG01031,0.00036190758196384215,769.0
HG01047,0.00021385448025136128,122.0
HG01048,9.870206780832058e-05,112.0
HG01051,0.00036190758196384215,741.0
HG01054,0.000509960683676323,1175.0
HG01060,0.00027965585879024163,95.0
HG01063,0.00024675516952080145,117.0
HG01066,0.0005264110283110431,108.0
HG01069,0.00021385448025136128,824.0
HG01072,0.00041125861586800244,1169.0
HG01075,0.0,109.0
HG01079,0.000329006892694402,116.0
HG01082,0.0006086627514846436,88.0
HG01085,0.00018095379098192108,106.0
HG01088,0.0006086627514846436,1189.0
HG01094,0.00031255654805968186,1114.0
HG01097,0.000329006892694402,773.0
HG01101,8.22517231736005e-05,832.0
HG01104,0.00031255654805968186,1175.0
HG01107,0.0005428613729457632,1155.0
HG01110,0.00036190758196384215,1198.0
HG01112,0.0007896165424665647,1160.0
HG01121,0.000164503446347201,106.0
HG01124,6.580137853888039e-05,518.0
HG01130,0.00026320551415552157,833.0
HG01133,1.6450344634720098e-05,775.0
HG01136,0.0,112.0
HG01139,0.0005264110283110431,518.0
HG01142,0.00011515241244304068,529.0
HG01148,0.0008718682656401652,124.0
HG01161,0.0008554179210054451,1196.0
HG01164,0.0004441593051374426,801.0
HG01167,4.935103390416029e-05,822.0
HG01170,0.0008554179210054451,84.0
HG01173,0.00031255654805968186,110.0
HG01176,4.935103390416029e-05,109.0
HG01182,0.0008389675763707249,91.0
HG01187,0.00027965585879024163,1148.0
HG01190,0.00021385448025136128,776.0
HG01197,0.00036190758196384215,833.0
HG01200,0.0009705703334484858,1169.0
HG01204,0.0007402655085624044,1149.0
HG01241,1.6450344634720098e-05,106.0
HG01247,6.580137853888039e-05,96.0
HG01250,0.0007567158531971245,1156.0
HG01253,0.0005922124068499235,794.0
HG01256,0.00029610620342496174,801.0
HG01259,0.00013160275707776078,106.0
HG01271,0.0007073648192929642,115.0
HG01277,0.00031255654805968186,124.0
HG01280,0.00011515241244304068,121.0
HG01286,0.0005593117175804833,114.0
HG01302,0.0004935103390416029,1147.0
HG01305,0.0011186234351609665,1137.0
HG01308,0.0012337758476040073,1177.0
HG01311,0.00023030482488608137,758.0
HG01325,0.0006086627514846436,1196.0
HG01334,0.00026320551415552157,100.0
HG01341,0.00031255654805968186,111.0
HG01344,0.00042770896050272256,826.0
HG01350,0.0005757620622152034,98.0
HG01353,0.0003948082712332823,102.0
HG01356,0.0003948082712332823,85.0
HG01359,0.00029610620342496174,113.0
HG01362,8.22517231736005e-05,1156.0
HG01365,0.00046060964977216273,92.0
HG01374,0.0005922124068499235,101.0
HG01377,0.0008389675763707249,1147.0
HG01383,0.00042770896050272256,101.0
HG01389,0.00046060964977216273,100.0
HG01392,0.00013160275707776078,110.0
HG01395,0.000164503446347201,101.0
HG01398,0.00047705999440688285,116.0
HG01402,0.00019740413561664116,773.0
HG01405,0.00014805310171248087,110.0
HG01412,3.2900689269440196e-05,816.0
HG01413,0.00014805310171248087,96.0
HG01431,0.00021385448025136128,841.0
HG01437,0.0005428613729457632,834.0
HG01440,0.00027965585879024163,114.0
HG01443,0.00036190758196384215,95.0
HG01455,0.001348928260047048,1165.0
HG01461,0.000164503446347201,109.0
HG01464,3.2900689269440196e-05,129.0
HG01479,0.00046060964977216273,130.0
HG01485,0.00036190758196384215,1152.0
HG01488,0.00021385448025136128,113.0
HG01491,0.00034545723732912204,92.0
HG01494,0.000674464130023524,777.0
HG01497,0.0010857227458915264,1190.0
HG01500,0.0008718682656401652,97.0
HG01503,0.0014805310171248087,99.0
HG01506,0.0003948082712332823,96.0
HG01509,0.00042770896050272256,793.0
HG01512,0.000329006892694402,779.0
HG01515,0.0007073648192929642,134.0
HG01518,0.0005428613729457632,100.0
HG01521,0.00047705999440688285,123.0
HG01524,8.22517231736005e-05,105.0
HG01527,0.00019740413561664116,819.0
HG01530,0.00013160275707776078,749.0
HG01536,0.00018095379098192108,111.0
HG01550,0.0004441593051374426,122.0
HG01556,0.00023030482488608137,1154.0
HG01565,0.000658013785388804,478.0
HG01571,0.0008554179210054451,816.0
HG01577,0.0005593117175804833,104.0
HG01583,0.000329006892694402,823.0
HG01586,0.00042770896050272256,484.0
HG01589,0.0005264110283110431,749.0
HG01596,0.0003948082712332823,731.0
HG01603,0.000509960683676323,98.0
HG01606,0.0005757620622152034,89.0
HG01608,0.00047705999440688285,103.0
HG01610,0.0005264110283110431,798.0
HG01615,0.000509960683676323,98.0
HG01617,0.0004441593051374426,415.0
HG01619,0.00034545723732912204,765.0
HG01624,0.0004441593051374426,113.0
HG01625,0.00034545723732912204,98.0
HG01630,0.00023030482488608137,102.0
HG01631,0.00013160275707776078,107.0
HG01669,0.0010857227458915264,115.0
HG01672,0.001036371711987366,762.0
HG01675,0.00029610620342496174,111.0
HG01678,0.00018095379098192108,109.0
HG01680,0.00027965585879024163,1188.0
HG01682,0.00031255654805968186,108.0
HG01686,0.0004935103390416029,827.0
HG01694,0.00027965585879024163,99.0
HG01699,0.00036190758196384215,1150.0
HG01700,0.00024675516952080145,107.0
HG01705,0.00036190758196384215,95.0
HG01708,0.00026320551415552157,97.0
HG01709,0.00026320551415552157,103.0
HG01747,0.00018095379098192108,101.0
HG01756,0.0,826.0
HG01761,1.6450344634720098e-05,118.0
HG01765,0.00019740413561664116,100.0
HG01767,0.00011515241244304068,87.0
HG01771,0.0,106.0
HG01775,0.00042770896050272256,91.0
HG01777,4.935103390416029e-05,115.0
